date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:35	30/30	---M--	200	added ('OK')	text/plain	date:Thu,%2022%20Feb%202018%2023:19:35%20GMT	https://scamcrows.github.io/robots.txt		(from )
19:19:36	18486/18486	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202018%2023:19:35%20GMT	https://scamcrows.github.io/	C:/My%20Web%20Sites/snowcrows/index.html	(from )
19:19:36	72299/72299	---MC-	200	added ('OK')	text/javascript	date:Thu,%2022%20Feb%202018%2023:19:36%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/snowcrows/pagead/js/f.txt	(from https://scamcrows.github.io/)
19:19:36	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%227d26-540598b20c180%22	https://scamcrows.github.io/favicon.ico	C:/My%20Web%20Sites/snowcrows/favicon.ico	(from https://scamcrows.github.io/)
19:19:36	8724/8724	---M-Z	200	added ('OK')	text/css	etag:%222214-55aab767bf6ed-gzip%22	https://scamcrows.github.io/assets/dropdown/css/style.css	C:/My%20Web%20Sites/snowcrows/assets/dropdown/css/style.css	(from https://scamcrows.github.io/)
19:19:37	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22ce35-53fc9e516b400-gzip%22	https://scamcrows.github.io/assets/animate.css/animate.min.css	C:/My%20Web%20Sites/snowcrows/assets/animate.css/animate.min.css	(from https://scamcrows.github.io/)
19:19:37	53171/53171	---M-Z	200	added ('OK')	text/css	etag:%22cfb3-54058b267cc80-gzip%22	https://scamcrows.github.io/assets/theme/css/style.css	C:/My%20Web%20Sites/snowcrows/assets/theme/css/style.css	(from https://scamcrows.github.io/)
19:19:37	514/514	---M-Z	200	added ('OK')	text/css	etag:%22202-55703fb122705-gzip%22	https://scamcrows.github.io/assets/cursor.css	C:/My%20Web%20Sites/snowcrows/assets/cursor.css	(from https://scamcrows.github.io/)
19:19:37	87067/87067	---M-Z	200	added ('OK')	text/css	etag:%221541b-55e53a7c6ee9d-gzip%22	https://scamcrows.github.io/assets/bootstrap/css/bootstrap.min.css?v=6	C:/My%20Web%20Sites/snowcrows/assets/bootstrap/css/bootstrap.min1bce.css	(from https://scamcrows.github.io/)
19:19:38	117944/117944	---M-Z	200	added ('OK')	text/css	etag:%221ccb8-55bc20e85d0b0-gzip%22	https://scamcrows.github.io/assets/hover/css/hover_miku.css?v=2	C:/My%20Web%20Sites/snowcrows/assets/hover/css/hover_miku5e1f.css	(from https://scamcrows.github.io/)
19:19:38	1508/1508	---M--	200	added ('OK')	image/png	etag:%22ddcefaac71f56a7d3f15dc04cb74d12e%22	https://i.imgur.com/ZVjaHb5.png	C:/My%20Web%20Sites/snowcrows/ZVjaHb5.png	(from https://scamcrows.github.io/)
